Census Tracts (2020) exported from DataNexus (data.neighborhoodnexus.org) on May 7th 2024 @ 1:26 am

"GEOID","NAME","COUNTYNAME","PlanningRegion","ARCModelingArea","Change % Population below poverty 2010-21","Change % Family households 2010-20","Change % Age 18-34 years 2010-21","Change % Age 35-49 years 2010-21","Change % Age 50-64 years 2010-21","Change % Vacant housing units 2010-21","Change % Renter-occupied housing units 2010-21","Change % Owner-occupied housing units 2010-21","Change # Total housing units 2010-21","Change # Non-Hispanic Black 2010-2020","Change # Total population 2010-2020","Change # Non-Hispanic White 2010-2020"
"13089020100","Census Tract 201","DeKalb","Atlanta Regional Commission","Yes",0.1,11.8,1.9,-5.5,-2.4,4.8,-0.1,0.1,7,43,359,136
"13121006602","Census Tract 66.02","Fulton","Atlanta Regional Commission","Yes",-8,7.8,2,-2.3,3.9,-18.2,-26.3,26.3,-133,-125,-79,32
"13089021416","Census Tract 214.16","DeKalb","Atlanta Regional Commission","Yes",-23.6,-13,1.9,1.2,3.5,-0.7,-26.7,26.7,-9,-38,-1002,114
"13135050536","Census Tract 505.36","Gwinnett","Atlanta Regional Commission","Yes",-0.2,15.5,-7.2,-5.5,4.2,-7.3,11.9,-11.9,-122,786,1916,-16
"13121011000","Census Tract 110","Fulton","Atlanta Regional Commission","Yes",5.2,-2.1,-5.3,-5.8,14.1,-9.8,-7,7,-450,8,20,-18
"13121000700","Census Tract 7","Fulton","Atlanta Regional Commission","Yes",-59.1,3.4,-22.2,11.3,8.3,-8.9,-9.1,9.1,16,578,706,43
"13129970500","Census Tract 9705","Gordon","Northwest Georgia","No",-2.4,14.7,-11.2,0.4,8.5,2.7,-7.4,7.4,97,13,-2,-424
"13265010200","Census Tract 102","Taliaferro","Central Savannah River Area","No",-13.1,1.7,-2,4.3,-4.4,6.4,-4.1,4.1,-107,-191,-158,-34
"13067031507","Census Tract 315.07","Cobb","Atlanta Regional Commission","Yes",-8.7,5.5,6.1,-9,8.1,6.4,16.2,-16.2,-186,113,207,-174
"13013180108","Census Tract 1801.08","Barrow","Northeast Georgia","Yes",-16,-15.5,4.7,-9.8,14.1,-4.1,0,0,-64,-20,59,-187
"13089023101","Census Tract 231.01","DeKalb","Atlanta Regional Commission","Yes",-13.1,-10.2,4.4,3.3,-2.8,-6.3,3.2,-3.2,-21,-1027,-202,524
"13121006400","Census Tract 64","Fulton","Atlanta Regional Commission","Yes",-15.6,-15,7,19.2,-6.8,-22.7,-23.7,23.7,-396,-448,-444,149
"13245010105","Census Tract 101.05","Richmond","Central Savannah River Area","No",-2.4,-12.5,-2.3,5.8,-2.8,10.3,9.1,-9.1,-70,132,-84,-422
